Total iterations, Power iterations, World size, Total Time, Error,Thread Time,,,,,,,,,, Power iterations, World size, Total Time,Thread Time, Error
16,8,8,12.496779,3.580631,7.12853966666667,7.13399966666667,7.114182,7.14593466666667,7.110345,7.127594,7.134379,7.156456,7.105427,,8,8,12.496779,7.12853966666667,3.580631
16,8,8,12.698979,3.903987,7.144249625,7.18046,7.123158,7.167854,7.118598,7.140199,7.143988,7.162956,7.116784,,4,8,12.558154,6.11907116666667,3.17998366666667
16,8,8,12.405509,4.803333,7.094588875,7.092344,7.105995,7.101041,7.11293,7.10696,7.095158,7.090345,7.051938,,2,8,12.509493,3.86968729166667,3.81608433333333
16,8,8,12.385849,2.034573,7.1467805,7.129195,7.113393,7.168909,7.099507,7.135623,7.163991,7.216067,7.147559,,8,4,12.1502836666667,7.092319,4.53182166666667
,,,,,,,,,,,,,,,4,4,12.44515,6.14964508333333,4.66895966666667
16,4,8,12.558154,3.17998366666667,6.11907116666667,6.136505,6.08907166666667,6.09686166666667,6.09281333333333,6.17502833333333,6.14502066666667,6.11020333333333,6.10706533333333,,2,4,12.639199,4.08572125,4.28700566666667
16,4,8,12.492632,3.466272,6.075730375,6.073924,6.093372,6.052142,6.048313,6.128475,6.090325,6.054544,6.064748,,8,2,12.6273286666667,7.53077983333333,4.201654
16,4,8,12.639908,2.105518,6.18587625,6.220701,6.124953,6.187047,6.176479,6.25238,6.203831,6.166507,6.155112,,4,2,12.5934426666667,6.509494,4.30027966666667
16,4,8,12.541922,3.968161,6.095606875,6.11489,6.04889,6.051396,6.053648,6.14423,6.140906,6.109559,6.101336,,2,2,12.6201093333333,4.24881166666667,4.42504833333333
,,,,,,,,,,,,,,,,,,,
16,2,8,12.509493,3.81608433333333,3.86968729166667,3.91868766666667,3.91870666666667,3.79242766666667,3.81531333333333,3.908051,3.886025,3.889127,3.82916,,,,,,
16,2,8,12.512516,4.004811,3.855111125,3.928773,3.883654,3.689471,3.858977,3.919036,3.919117,3.822211,3.81965,,,,,,
16,2,8,12.534753,3.476221,3.912682875,3.940109,3.887126,3.908632,3.816805,3.893132,4.002968,3.975829,3.876862,,,,,,
16,2,8,12.48121,3.967221,3.841267875,3.887181,3.98534,3.77918,3.770158,3.911985,3.73599,3.869341,3.790968,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
16,8,4,12.1502836666667,4.53182166666667,7.092319,7.107242,7.06915,7.10673733333333,7.08614666666667,,,,,,,,,,
16,8,4,12.598219,5.240831,7.3843345,7.450447,7.369457,7.395994,7.32144,,,,,,,,,,
16,8,4,12.198278,3.469363,7.04890525,7.05856,6.974118,7.090053,7.07289,,,,,,,,,,
16,8,4,11.654354,4.885271,6.84371725,6.812719,6.863875,6.834165,6.86411,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
16,4,4,12.44515,4.66895966666667,6.14964508333333,6.13998466666667,6.16603166666667,6.17590366666667,6.11666033333333,,,,,,,,,,
16,4,4,12.468846,4.456848,6.19978,6.233904,6.213748,6.179499,6.171969,,,,,,,,,,
16,4,4,12.616949,5.545054,6.15943075,6.132651,6.155266,6.231182,6.118624,,,,,,,,,,
16,4,4,12.249655,4.004977,6.0897245,6.053399,6.129081,6.11703,6.059388,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
16,2,4,12.639199,4.28700566666667,4.08572125,4.043248,4.151408,4.095569,4.05266,,,,,,,,,,
16,2,4,12.612254,4.014522,4.1689945,4.185269,4.199118,4.176908,4.114683,,,,,,,,,,
16,2,4,12.691376,4.395452,3.953936,3.875796,4.084112,3.971818,3.884018,,,,,,,,,,
16,2,4,12.613967,4.451043,4.13423325,4.068679,4.170994,4.137981,4.159279,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
16,8,2,12.6273286666667,4.201654,7.53077983333333,7.52606266666667,7.535497,,,,,,,,,,,,
16,8,2,12.60539,4.467071,7.5277345,7.528904,7.526565,,,,,,,,,,,,
16,8,2,12.646483,3.999951,7.529824,7.513568,7.54608,,,,,,,,,,,,
16,8,2,12.630113,4.13794,7.534781,7.535716,7.533846,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
16,4,2,12.5934426666667,4.30027966666667,6.509494,6.50444466666667,6.51454333333333,,,,,,,,,,,,
16,4,2,12.602628,4.888361,6.5038455,6.502315,6.505376,,,,,,,,,,,,
16,4,2,12.584165,4.000683,6.500864,6.496741,6.504987,,,,,,,,,,,,
16,4,2,12.593535,4.011795,6.5237725,6.514278,6.533267,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
16,2,2,12.6201093333333,4.42504833333333,4.24881166666667,4.25644533333333,4.241178,,,,,,,,,,,,
16,2,2,12.666469,4.157087,4.2589715,4.269126,4.248817,,,,,,,,,,,,
16,2,2,12.596064,4.46973,4.2410695,4.247656,4.234483,,,,,,,,,,,,
16,2,2,12.597795,4.648328,4.246394,4.252554,4.240234,,,,,,,,,,,,
